"Craftsmanship from our own factory in Indonesia","Vakmanschap uit onze eigen fabriek in Indonesië",
"100% quality control before shipment","100% kwaliteitscontrole vóór verzending",
"Exclusively FSC® Premium Teak","Uitsluitend FSC® Premium Teak",
"Production begins immediately after order placement","Productie start direct na bestelling",
"Crafted for you in our own factory in Indonesia — delivery time approx. 12–14 weeks.","Voor u vervaardigd in onze eigen fabriek in Indonesië — levertijd ca. 12-14 weken.",
"Customization available","Maatwerk mogelijk",
"need to adjust the dimensions or design? Message our specialist.","afmeting of uitvoering aanpassen? App onze specialist.",
"Already manufactured — on its way from our own factory in Indonesia.","Reeds vervaardigd — onderweg vanuit onze eigen fabriek in Indonesië.",
"Expected in our showroom on %1","Verwacht in onze showroom op %1",
"Limited edition on its way from our factory in Indonesia — reserve today","Beperkte oplage onderweg uit onze fabriek in Indonesië — reserveer vandaag",
"Only %1 units on their way from our factory in Indonesia — reserve today","Slechts %1 exemplaren onderweg uit onze fabriek in Indonesië — reserveer vandaag",
"Almost sold out — only %1 units left on their way from our factory in Indonesia.","Bijna uitverkocht — nog slechts %1 exemplaren onderweg uit onze fabriek in Indonesië.",
"Reserve now to avoid disappointment","Reserveer nu om teleurstelling te voorkomen",
"Order now, we’ll ship immediately upon arrival in Tolbert","Bestel nu, wij verzenden direct na aankomst in Tolbert",
"Patrick will review your note personally · within 24 hours","Patrick leest uw notitie persoonlijk · binnen 24 uur",
"Do you have a discount code?","Heeft u een kortingscode?",
"Enter code","Voer code in",
"🎉 You qualify for free delivery!","🎉 U heeft gratis bezorging!",
"Only € ","Nog € ",
" more for free delivery"," tot gratis bezorging",
"Your Shopping Cart","Uw winkelwagen",
"Expected","Verwacht",
"Order now · ~3 weeks total","Bestel nu · ~3 wkn totaal",
"We’ll set one aside for you","Wij zetten één apart",
"We’ll schedule delivery","Wij plannen bezorging in",
"Expected in %1. We’ll set one aside for you and contact you as soon as it’s been inspected in Tolbert — then delivered to your home within 1 week.","Verwacht in %1. Wij zetten één voor jou apart en nemen contact op zodra hij gecontroleerd is in Tolbert — daarna binnen 1 week bij jou thuis.",
"Expected on %1. We'll set one aside for you and get in touch as soon as it's been checked in Tolbert — after which it will be delivered to your home within a week.","Verwacht op %1. Wij zetten één voor jou apart en nemen contact op zodra hij gecontroleerd is in Tolbert — daarna binnen 1 week bij jou thuis.",
"Expected this week","Verwacht week",
"Temporarily out of stock","Tijdelijk niet op voorraad",
"Submitting...","Bezig met verzenden...",
"Unavailable","niet beschikbaar",
"Only","nog",
"Expected","Verwacht",
"delivery time","levertijd",
"Verified in Tolbert","Gecontroleerd Tolbert",
"Every item is personally inspected in Tolbert. We will contact you to schedule your delivery—delivered to your home within 1 to 2 weeks.","Elk stuk wordt persoonlijk gecontroleerd in Tolbert. Wij nemen contact op om de bezorging in te plannen — leverbaar binnen 1 à 2 weken bij jou thuis.",
"Pay on delivery","Betaal bij levering",
"Our collections","Onze collecties",
"Our story","Ons verhaal",
"View by type","Bekijken op type",
"The Furniture Workshop","De meubelwerkplaats",
"400 m² workshop in Tolbert","Werkplaats van 400 m² in Tolbert",
"Our Showroom","Onze showroom",
"Open today until 17:30 · Tolbert","Vandaag geopend tot 17.30 uur · Tolbert",
"Inspiration & Style","Inspiratie & stijl",
"Lookbooks, style guides, color cards","Lookbooks, stijlgidsen, kleurenkaarten",
"Call now","Bel direct",
"Your quote summary","Uw offerteoverzicht",
"Solid wood & certified","Massief hout & gecertificeerd",
"True craftsmanship, custom-made","Echt ambacht, op maat gemaakt",
"Accurate to the millimeter","Op de mm nauwkeurig",
"From our own furniture workshop","Uit eigen meubelmakerij",
"Tolbert, since 2002","Tolbert, sinds 2002",
"Hassle-free & fast delivery","Zorgeloze & snelle levering",
"Safely packaged, delivered quickly","Veilig verpakt, snel in huis",
"Your furniture is crafted from premium solid wood sourced from responsibly managed forests (FSC-C220387). Our workshop is powered by an energy-positive building with 140 solar panels. A beautiful, responsible choice.","Jouw meubel wordt vervaardigd uit premium massief hout, afkomstig uit verantwoord beheerde bossen (FSC-C220387). Onze meubelmakerij draait op een energiepositief gebouw met 140 zonnepanelen. Een prachtige, verantwoorde keuze.",
"No mass production, but pure craftsmanship. Your furniture is custom-made and finished to the millimeter by our own skilled craftsmen. Extremely strong, timeless, and delivered with a standard 2-year full warranty.","Geen massaproductie, maar puur handwerk. Jouw meubel wordt door onze eigen vakmensen tot op de millimeter nauwkeurig op maat gemaakt en afgewerkt. Oersterk, tijdloos en standaard geleverd met 2 jaar volledige garantie.",
"Our in-house furniture workshop has been the beating heart of Techtic since 2002. Here, we design and make every piece of furniture with pure passion. Would you like to feel the wood in real life and compare colors? Then come visit our 1,500m² showroom in Tolbert.","Al sinds 2002 is onze eigen meubelmakerij het kloppende hart van Techtic. Hier ontwerpen en maken we elk meubel met pure passie. Wil je het hout in het echt voelen en kleuren vergelijken? Kom dan langs in onze 1500m² showroom in Tolbert.",
"As soon as your order is perfectly finished, we pack it with the utmost care and deliver quickly and safely throughout Europe. Not 100% to your liking? You have 30 days to change your mind. For personal advice, call the furniture makers directly: 085 130 2543.","Zodra je bestelling perfect is afgewerkt, verpakken we deze met de grootste zorg en leveren we snel en veilig in heel Europa. Toch niet 100% naar wens? Je hebt 30 dagen bedenktijd. Voor persoonlijk advies bel je direct met de meubelmakers: 085 130 2543.",
"FSC®-certified","FSC®-gecertificeerd",
"Solid oak & teak","Massief eiken & teak",
"Energy-positive","Energiepositief",
"Timeless design","Tijdloos design",
"Sustainable materials","Duurzame materialen",
"Tolbert Furniture Makers","Meubelmakerij Tolbert",
"Since 2002","Sinds 2002",
"Carefully packaged","Zorgvuldig verpakt",
"Personal advice","Persoonlijk advies",
"View directions","Bekijk route",
"Welcome back","Welkom terug",
"We've safely received your details. Choose a password to track your order live and download invoices.","Je gegevens zijn al veilig ontvangen. Kies een wachtwoord om je order live te volgen en facturen te downloaden.",
"Log in","Inloggen",
"Register","Registreren",
"Email Address","E-mailadres",
"Password","Wachtwoord",
"Forgot?","Vergeten?",
"Stay logged in","Ingelogd blijven",
"Sign in securely","Veilig inloggen",
"Min. %1 characters","Min. %1 tekens",
"Keep me posted on offers","Houd me op de hoogte van aanbiedingen",
"Create account","Account aanmaken",
"Securely paid via Pay.nl","Veilig afgerekend via Pay.nl",
"Order #%1","Bestelling #%1",
"confirmation is on its way","bevestiging is onderweg",
"2-year guarantee — and we're here for you after that too.","2 jaar garantie — en ook daarna staan wij voor je klaar.",
"2-year guarantee - and we're here for you after that too.","2 jaar garantie - en ook daarna staan wij voor je klaar.",
"30-day returns · secured by Pay.nl","30 dagen retour · Pay.nl beveiligd",
"30-day returns","30 dagen retour",
"secured by Pay.nl","Pay.nl beveiligd",
"Questions?","Vragen?",
"Welcome","Welkom",
"Your note","Jouw opmerking",
"Reorder","Opnieuw bestellen",
"%1 address cannot be shown due to a technical malfunction.","Het adres %1 kan vanwege een technische storing niet worden weergegeven.",
"saved successfully","succesvol opgeslagen",
"saving","wordt opgeslagen",
"Saving method","Verzendmethode opslaan",
"Saving shipping method","Verzendmethode opslaan",
"Saving your address","Uw adres opslaan",
"Back to %1","Terug naar %1",
"Back to Cart","Terug naar winkelwagen",
"Pending Shipping Quote","Verzendofferte in behandeling",
"Please enter a valid zip/postal code.","Vul alstublieft een geldige postcode in.",
"Free shipping to the Netherlands and Belgium on orders of €300 or more","Gratis bezorging NL & BE vanaf €300",
"Discover our bestsellers","Ontdek onze bestsellers",
"Unable to create account. Please try again.","Het is niet gelukt om een account aan te maken. Probeer het nog eens.",
"Passwords do not match.","De wachtwoorden komen niet overeen.",
"Qty %1","Aantal %1",
